Date,BFSI
Mar-04,-1
Mar-04,-1.004
Mar-04,-1.007
Mar-04,-1.011
Mar-04,-1.014
Mar-04,-1.016
Mar-04,-1.017
Mar-04,-1.016
Mar-04,-1.012
Mar-04,-1.008
Mar-04,-1.005
Mar-04,-1.001
Mar-04,-0.999
Mar-04,-0.997
Mar-04,-0.996
Mar-04,-0.995
Mar-04,-0.995
Mar-04,-0.996
Mar-04,-0.999
Mar-04,-1.004
Apr-04,-1.009
Apr-04,-1.014
Apr-04,-1.015
Apr-04,-1.014
Apr-04,-1.011
Apr-04,-1.005
Apr-04,-0.999
Apr-04,-0.993
Apr-04,-0.989
Apr-04,-0.987
Apr-04,-0.985
Apr-04,-0.984
Apr-04,-0.982
Apr-04,-0.981
Apr-04,-0.979
Apr-04,-0.978
Apr-04,-0.977
Apr-04,-0.977
Apr-04,-0.977
Apr-04,-0.977
Apr-04,-0.974
Apr-04,-0.967
May-04,-0.956
May-04,-0.942
May-04,-0.927
May-04,-0.911
May-04,-0.897
May-04,-0.882
May-04,-0.866
May-04,-0.848
May-04,-0.827
May-04,-0.804
May-04,-0.784
May-04,-0.768
May-04,-0.756
May-04,-0.751
May-04,-0.751
May-04,-0.753
May-04,-0.757
May-04,-0.763
May-04,-0.771
May-04,-0.779
May-04,-0.787
Jun-04,-0.794
Jun-04,-0.8
Jun-04,-0.804
Jun-04,-0.806
Jun-04,-0.807
Jun-04,-0.809
Jun-04,-0.811
Jun-04,-0.814
Jun-04,-0.817
Jun-04,-0.82
Jun-04,-0.82
Jun-04,-0.819
Jun-04,-0.817
Jun-04,-0.814
Jun-04,-0.811
Jun-04,-0.81
Jun-04,-0.81
Jun-04,-0.81
Jun-04,-0.81
Jun-04,-0.811
Jun-04,-0.811
Jun-04,-0.811
Jul-04,-0.81
Jul-04,-0.809
Jul-04,-0.808
Jul-04,-0.806
Jul-04,-0.805
Jul-04,-0.806
Jul-04,-0.807
Jul-04,-0.809
Jul-04,-0.811
Jul-04,-0.815
Jul-04,-0.819
Jul-04,-0.826
Jul-04,-0.834
Jul-04,-0.842
Jul-04,-0.85
Jul-04,-0.855
